query,execution_time_s,puissance_moyenne_W,energy_consumed_J
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1521,83.038,8.3038
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.151,106.16,10.616
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1521,97.982,9.7982
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1506,113.336,11.3336
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.153,113.542,11.3542
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.152,120.317,12.0317
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.151,97.631,9.7631
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.153,105.485,10.5485
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1504,98.271,9.8271
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1502,99.495,9.9495
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1496,82.282,8.2282
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1498,88.973,8.8973
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1501,97.675,9.7675
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1509,106.031,10.6031
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1497,95.1,9.51
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1499,94.29,9.429
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1505,115.545,11.5545
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1512,125.391,12.5391
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.151,80.525,8.0525
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1497,87.976,8.7976
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1511,116.102,11.6102
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1518,105.923,10.5923
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1518,96.511,9.6511
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1517,96.535,9.6535
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1532,106.954,10.6954
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1535,81.527,8.1527
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.151,123.085,12.3085
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1519,97.413,9.7413
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1509,113.217,11.3217
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1517,107.384,10.7384
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1507,112.807,11.2807
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1518,95.085,9.5085
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.15,99.587,9.9587
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1519,140.206,14.0206
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1509,117.649,11.7649
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.153,84.954,8.4954
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1498,84.512,8.4512
